2026-08-28 15:10:31,991 | INFO | janus.step8 | 27    err_technical_glitch_t1                       0.0066
2026-08-28 15:10:31,992 | INFO | janus.step8 | 28    err_bad_card_number_t5                        0.0062
2026-08-28 15:10:31,992 | INFO | janus.step8 | 29    chip_Online Transaction_t9                    0.0062
2026-08-28 15:10:31,992 | INFO | janus.step8 | 30    amount_raw_t5                                 0.0060
2026-08-28 15:10:31,992 | INFO | janus.step8 | ======================================================================
2026-08-28 15:10:31,992 | INFO | janus.step8 | SIDE-BY-SIDE COMPARISON: baseline → enriched
2026-08-28 15:10:31,992 | INFO | janus.step8 | Metric                   Baseline     Enriched        Delta
2026-08-28 15:10:31,992 | INFO | janus.step8 | AUC-PR                   0.755584     0.817069      +0.0615
2026-08-28 15:10:31,992 | INFO | janus.step8 | ROC-AUC                  0.998718     0.999024      +0.0003
2026-08-28 15:10:31,992 | INFO | janus.step8 | Best F1                    0.6954       0.7517      +0.0562
2026-08-28 15:10:31,992 | INFO | janus.step8 | Precision@F1               0.7348       0.7856      +0.0508
2026-08-28 15:10:31,992 | INFO | janus.step8 | Recall@F1                  0.6601       0.7205      +0.0604
2026-08-28 15:10:31,992 | INFO | janus.step8 | Threshold@F1               0.9593       0.9497      -0.0096
2026-08-28 15:10:31,992 | INFO | janus.step8 | Latency (mean)              0.280        0.268       -0.012 ms
2026-08-28 15:10:31,992 | INFO | janus.step8 | Features                      210          243          +33
2026-08-28 15:10:31,993 | INFO | janus.step8 | ----------------------------------------------------------------------
2026-08-28 15:10:31,993 | INFO | janus.step8 | Peak memory (tracemalloc, excludes mmap): 7132.2 MB
2026-08-28 15:10:32,006 | INFO | janus.step8 | Model saved: artifacts/model_enriched.json (2.1 MB)
2026-08-28 15:10:32,074 | INFO | janus.step8 | Metrics saved: artifacts/metrics_enriched.json
2026-08-28 15:10:32,151 | INFO | janus.step8 | Cleaned up _tmp_merged_train.npy (7.12 GB)
2026-08-28 15:10:32,184 | INFO | janus.step8 | Cleaned up _tmp_merged_test.npy (1.78 GB)
2026-08-28 15:10:32,184 | INFO | janus.step8 | ======================================================================
2026-08-28 15:10:32,184 | INFO | janus.step8 | STEP 8 COMPLETE — enriched model trained and evaluated.
2026-08-28 15:10:32,184 | INFO | janus.step8 | Compare: artifacts/metrics_enriched.json vs artifacts/metrics_baseline.json
2026-08-28 15:10:32,184 | INFO | janus.step8 | ======================================================================
